layer,unit,description
0,10698,"Surnames, proper nouns, common nouns, and other words that often appear in formal or technical contexts."
0,2725,"Verbs or adverbs modifying or describing actions, nouns or status, with a focus on change, development, or expression, often indicating a transition or an assessment of a situation."
0,2696,"Frequent appearances of nouns \\office\\, \\race\\, and \\major\\, suggesting concepts of locations, competitions, and importance, respectively."
0,2536,"Nouns that convey abstract concepts, organizations, names of specific entities or cooperative actions, and adjectives that describe a state of being."
0,12182,"Function words, proper nouns, and adverbs often associated with temporal or quantitative expressions, or that express negation, indication of certainty, or informal agreement."
0,6600,"Adverbs or adjectives joining, combining, or bringing elements together, often in a collaborative, harmonious, or unified manner, as well as terms signifying networks, or preceding citations."
0,3740,"Nouns and terms from various scientific fields, including biology, ecology, physics, and medicine, often referring to living organisms, systems, or branches of study."
0,2818,"Verbs of attribution, particularly \\said\\ and \\says\\, often used to introduce direct or indirect quotes in written text, indicating the person who spoke the words."
0,13502,"Numerical digits that appear to be part of dates, years, scores, or other quantifiable data."
0,13988,"The presence of suffixes, abbreviations, and single-letter initials that are part of proper nouns, technical terms, or citations."
0,3681,"The token \\pick\\ or its variations, related tokens ending with the suffix \\-ally\\, and various proper nouns or words that are related to a person's name, occupation, or location, often possess a higher degree of importance."
0,13183,"Abbreviations or shortened forms of words or names, often representing a single unit of information."
0,4554,"Verbs and nouns in common contexts, such as past tense of verbs describing achievements or actions, nouns describing entities, movies, or sports, and proper nouns of names or locations."
0,14477,"Punctuation marks used to denote or set off a quotation, date, or a specific unit of information."
0,16268,"Proper nouns, names of people or places and specific terms, often indicating origins, titles, or subjects of interest."
0,10531,"Brand names, nouns referring to organizations, countries, or nationalities, and common verbs or adjectives."
0,10338,"Names, proper nouns, and specific terms denoting entities related to people, organizations, and locations, with some words being colloquial or informal."
0,12482,"Nouns related to concepts of decrease, sale, or reliance, including nouns of physical objects, places, and people, often used in formal or informative contexts."
0,6213,"Words that tend to be suffixes forming either comparative or adjective forms, often with Latin roots; words ending in \\ly\\ forming adverbs; interjections or stammering sounds; or nouns, often names of people or companies, with proper nouns and common nouns with unique or descriptive qualities."
0,31,"Non-standard, emphatic, or attention-grabbing punctuation, including repeated or special characters, often used to express strong emotions or to add emphasis to a statement."
10,10818,"Technical terms, abbreviations, and proper nouns in scientific and formal contexts, including academic papers, technical reports, and official documents."
10,10787
10,3863
10,10341
10,4006
10,13527
10,1198
10,15418
10,8945
10,11970
10,9562
10,3209
10,2286
10,8648
10,8516
10,1928
10,12045
10,15015
10,603
10,4250
20,1654
20,13722
20,1817
20,3307
20,4671
20,3429
20,6348
20,1478
20,759
20,1615
20,15565
20,10433
20,1374
20,11664
20,8980
20,15809
20,7626
20,15942
20,9859
20,4356
