layer,unit,qwen2_hopkins_cos,qwen3_hopkins_cos,qwen2_sil,qwen3_sil,sil_diff,sil_diff_pct,qwen2_k_sil,qwen3_k_sil,k_agrees,k_diff,qwen2_k_bic,qwen3_k_bic,k_bic_agrees
0,440,0.6257285827031626,0.6130211998804164,0.03100627474486828,0.030007971450686455,0.0009983032941818237,3.3267936682170722,3,9,False,6,2,2,True
0,1149,0.6360456382962176,0.6197312606559606,0.03084363415837288,0.031181080266833305,-0.00033744610846042633,-1.082214296530839,2,6,False,4,2,2,True
0,1749,0.6394788688864607,0.621362403425038,0.031918514519929886,0.03409050405025482,-0.002171989530324936,-6.37124498694146,10,10,True,0,2,2,True
0,2725,0.629705059037129,0.612755595327913,0.03129197284579277,0.032425057142972946,-0.0011330842971801758,-3.4944712423605835,2,10,False,8,2,2,True
0,3057,0.6349753808581102,0.6189316792179029,0.030383478850126266,0.032257501035928726,-0.0018740221858024597,-5.809570256899798,4,4,True,0,2,2,True
0,3124,0.6380078132863221,0.623165133865557,0.030484480783343315,0.031852323561906815,-0.0013678427785634995,-4.294326521909833,9,10,False,1,2,2,True
0,3279,0.6273620728913452,0.6085036188281561,0.0301729254424572,0.03125770390033722,-0.0010847784578800201,-3.4704355167569334,2,2,True,0,2,2,True
0,3533,0.6363862312868913,0.6183673955497965,0.030972499400377274,0.03342109173536301,-0.002448592334985733,-7.3264881781072,2,8,False,6,2,2,True
0,3696,0.6275800870823367,0.6169633233270588,0.03115885891020298,0.03305394574999809,-0.0018950868397951126,-5.733315030309875,3,10,False,7,2,2,True
0,3943,0.6358932951697246,0.620105222321204,0.031889017671346664,0.03200334683060646,-0.00011432915925979614,-0.357241259374964,2,2,True,0,2,2,True
0,4297,0.6289392536600722,0.6131622613419732,0.030644183978438377,0.0328880250453949,-0.00224384106695652,-6.822668931501289,2,9,False,7,2,2,True
0,4405,0.6332083516734409,0.6137314774214468,0.031047457829117775,0.03234648331999779,-0.0012990254908800125,-4.015971312952302,3,2,False,1,2,2,True
0,4679,0.631419732568983,0.6144885791365202,0.030174991115927696,0.031389907002449036,-0.0012149158865213394,-3.870402949669624,3,8,False,5,2,2,True
0,4842,0.6370248659162034,0.6175546034833936,0.031657829880714417,0.03299739211797714,-0.0013395622372627258,-4.059600323787181,2,2,True,0,2,2,True
0,5085,0.6321226022069061,0.61807179143766,0.02977089025080204,0.03308645263314247,-0.003315562382340431,-10.020906197176469,7,7,True,0,2,2,True
0,5551,0.6360703788382066,0.6240662872621413,0.02971765771508217,0.030502762645483017,-0.0007851049304008484,-2.5738813874851107,3,9,False,6,2,2,True
0,5781,0.6270125928768044,0.6170011866818116,0.03117308020591736,0.03302736580371857,-0.0018542855978012085,-5.614391437758665,8,8,True,0,2,2,True
0,5960,0.6345920661265337,0.61941445955235,0.02821098268032074,0.0310792475938797,-0.00286826491355896,-9.228875007012057,2,2,True,0,2,2,True
0,6114,0.6432243835473317,0.628516877642686,0.030106088146567345,0.03182993456721306,-0.0017238464206457138,-5.415802589872082,2,2,True,0,2,2,True
