layer,unit,description,mean_activation,highlights
40,1555,"Commercial products, organizational structures, functional attributes, operational processes, market positioning, and regulatory compliance",,[]
40,1555,"Collective aims, planned actions, and the facilitation of participation or resource access within organizations",,[]
40,1555,"Elements providing specific identification, categorization, or description, frequently as initial word segments, abbreviations, or structural markers",,[]
40,1555,"Specific types of commercial products, their defining materials, stylistic attributes, and qualities, along with entities involved in their provision or classification",,[]
40,1555,"Commercial transactions, professional expertise, financial considerations, product and service specifications, and the processes of obtaining or offering resources and information",,[]
40,1555,"Professional entities providing, managing, or assessing specialized services, programs, and information, especially within medical, legal, or organizational frameworks, focusing on treatment, compliance, and strategic initiatives",,[]
40,1555,"Specific designations of locations and venues, descriptions of events, activities, and services, attributes and quantities detailing features, amenities, and conditions, and pronouns or expressions conveying scope, involvement, or emphasis",,[]
40,1555,"Individual agency, personal involvement, and direct expression of internal states or intentions, encompassing the initiation of actions, emotional responses, cognitive processes such as planning and decision-making, and the immediate impact or unfolding consequences of events or chosen paths",,[]
40,1555,"Identifying precise times, specific components, chosen actions, definitive outcomes, or particular attributes",,[]
40,1555,"Specific named entities, organizations, events, locations, or key domain-specific terminology",,[]
