layer,unit,description,mean_activation,highlights
0,1149,"Specificity and description of entities, individuals, or concepts; personal engagement, observation, and inquiry about actions, qualities, or temporal instances",,[]
0,1149,"Designations of specific entities such as proper names, titles, and categories; exact numerical and temporal values; concrete actions or states; and direct linguistic references to these particular items or events",,[]
0,1149,"Tokens representing specific entities, properties, or numerical values, often encompassing common short grammatical elements or fragments of words, proper nouns, and unique characters",,[]
0,1149,"Specific designations, branded items, technical concepts, or the articulation of precise inquiries and conditional phrases",,[]
0,1149,"Specific features, attributes, and references for items or concepts, including their names, categories, components, materials, dimensions, quantities, conditions, or usage contexts",,[]
0,1149,"Designated products, specific models, software versions, and technical systems, including precise numerical values, temporal durations, or biological identifiers",,[]
0,1149,"Temporal factors and immediacy, human cognitive and emotional states, causation, methodology, and hypothetical situations, distinct entities, brands, and technology, and transformative effects",,[]
0,1149,"Exact numbers, measurements, quantities, and identifiers, specific points or periods in time, designations of places or entities, terms indicating conditions of severe difficulty, harm, or distress, and words expressing existence, absence, or conditional aspects of a statement",,[]
0,1149,"Information regarding specific individuals, organizations, places, or media productions, characterized by their names, precise dates, times, numerical data, or defined categories within entertainment and events",,[]
0,1149,"Specific proper nouns and acronyms, numerical values and measures of quantity, qualitative descriptions of attributes or intentions, specialized terminology, and interrogative or demonstrative pointers",,[]
