layer,unit,description,mean_activation,highlights
20,328,"Specific locations and geographical features, diverse events and experiences encompassing travel, dining, and social interactions, descriptive qualities and attributes of places, activities, or entities, and references to particular items, products, or biological elements",,[]
20,328,"Structured methodologies and ongoing development within professional, academic, and scientific fields, alongside the communication and assessment of progress",,[]
20,328,"Commercial and professional services, business operations, and various forms of transactions, encompassing provision, acquisition, management, and related financial or legal processes",,[]
20,328,"Specific details regarding the characteristics, components, operational aspects, and performance of various systems, products, and processes within their relevant contexts",,[]
20,328,"Societal, institutional, and regulatory frameworks, their design, implementation, and influence on human activity and well-being",,[]
20,328,"Guidance for personal growth, practical skill development, and conceptual understanding through shared experiences and instructional advice",,[]
20,328,"Pinpointing unique identifiers, precise locations, moments in time, specific attributes, or the defining connections within a description",,[]
20,328,"The crafting, presentation, and inherent aesthetic qualities of objects, food, and personal style",,[]
20,328,"The practical, administrative, and societal dimensions of health, illness, and medical care, encompassing specific conditions, treatment modalities, patient access, legal and ethical concerns, and public health policy",,[]
20,328,"Structured data and information, digital platforms, online services, and the processes involved in managing, accessing, and disseminating content, often within specialized technical, commercial, or academic contexts",,[]
