layer,unit,description,mean_activation,highlights
0,3696,"Designating particular types, specific attributes, or identifiable categories of things",,[]
0,3696,"Naming particular geographical locations, specific individuals or groups, standardized tests, and unique alphanumeric designators for places or programs",,[]
0,3696,"Specific identification of academic subjects, professional roles, organizational units, scientific and technical terminology, product features, data classifications, precise attributes, or geographic locations",,[]
0,3696,"Named locations and specific entities, numerical quantities, distinct characteristics, and functional classifications",,[]
0,3696,"Materials, physical attributes, componentry, and technical processes within mechanical, electrical, and data handling contexts",,[]
0,3696,"Identification of specific entities such as persons, organizations, and places, or precise categorizations of types, roles, attributes, and measures",,[]
0,3696,"Specific geographical entities, unique identifiers, particular time periods, distinct qualities, and specialized domains of knowledge or creative forms",,[]
0,3696,"Specific identities, designations, and precise descriptive qualities",,[]
0,3696,"Flavors, ingredients, brands, and geographical origins of food and beverages, including related utensils and descriptive terms",,[]
0,3696,"Detailed attributes, types, materials, and forms describing physical entities",,[]
