layer,unit,description,mean_activation,highlights
40,4055,"Specific named entities, their qualities, quantities, temporal occurrences, associated actions, and the relational contexts connecting these elements",,[]
40,4055,"The establishment of relationships and conditions, the quantification of attributes, the expression of states and actions, and the identification of components or roles within a specific context",,[]
40,4055,"References to specific items, organizations, or individuals, describing their attributes, functions, or actions within a given context",,[]
40,4055,"Specific features of intent, methods, circumstances, or the defining attributes of entities and events",,[]
40,4055,"Detailed identification of specific characteristics, components, or attributes of an item, system, or situation, often outlining its capabilities, conditions, or connections to other elements",,[]
40,4055,"Details and specifications of products, including their components, materials, dimensions, and features. The crafting, manufacturing, and delivery processes for goods and services. Characteristics such as quality, customization, pricing, availability, and their commercial context, alongside the inspirations and skills involved in their creation",,[]
40,4055,"Identifying particular entities, locations, and temporal references, including their defining attributes, capabilities, and associated actions or conditions",,[]
40,4055,"The activities of business organizations, encompassing their offerings, strategic initiatives, operational management, and the specialized expertise or technological capabilities employed for growth and achievement",,[]
40,4055,"Detailed attributes, precise classifications, and unique identifiers of various entities and services, including their availability, means of acquisition, and the conditions, relationships, or requirements governing them",,[]
40,4055,"Concrete specific identifiers for individuals, locations, objects, or categories, alongside expressions of personal experiences, emotions, or intentions, and idiomatic phrases conveying relationships, purpose, or comparison",,[]
