layer,unit,description,mean_activation,highlights
20,3313,"Individual engagement with specific products, services, systems, or subjects, outlining their features, requirements, aspirations, or consequences",,[]
20,3313,"The practicalities, features, and experiences associated with selecting, acquiring, or engaging with services, products, and destinations",,[]
20,3313,"Possession and direct address to an individual or group, user actions and interactions within a system or service, items or concepts being acted upon, and attributes or conditions related to these interactions or owned entities",,[]
20,3313,"Highly specific information including named entities, exact numerical values, precise dates and times, and factual descriptions of events or attributes",,[]
20,3313,"Identifying specific components, features, or elements within a product, system, or concept, outlining their attributes, contents, or operational role, often in relation to user engagement or defined procedures",,[]
20,3313,"Identifying and detailing product or service advantages and functionalities, along with reasons, conditions, and methods for engagement; emphasizing user interaction, customization, and strategic benefits for growth or problem resolution",,[]
20,3313,"Directly engaging with or describing people, their internal states, actions, goals, and relationships, frequently within conditional or specific time-bound contexts, and often through examples or enumerations",,[]
20,3313,"The particulars of an experience, an explanation, or an instruction, including personal involvement, specific objects, quantities, temporal references, or conditional aspects",,[]
20,3313,"The design, creation, and appreciation of various items, often focusing on their aesthetic, functional qualities, materials, and the personal experience they provide",,[]
20,3313,"Detailed descriptions of events, projects, or activities, including the specific people or groups involved, along with numerical, temporal, or financial specifications, and their intended purposes or results",,[]
