layer,unit,description,mean_activation,highlights
0,4297,"Concrete references to specific objects, actions, measurements, entities, or precise attributes and conditions",,[]
0,4297,"Defining characteristics, requirements, and conditions for a state or action, along with the operational processes, evaluations, and measurable impacts",,[]
0,4297,"Personal perspectives, interactions with others, potential states or outcomes, and evolving circumstances",,[]
0,4297,"Specific details related to geographic and temporal context, identifying participants and entities, enumerating attributes and qualities, outlining actions and events, and quantifying aspects",,[]
0,4297,"Evaluation of effectiveness, safety, and legitimacy in actions, policies, and products, weighing potential harm or benefit, anticipated future outcomes, and human or institutional accountability",,[]
0,4297,"Personal and collective states of being or becoming, fostering growth, capabilities, and positive transformation",,[]
0,4297,"The involvement of specific individuals, organizations, or groups in actions, states, or processes, explicitly or implicitly unfolding across time, often detailing durations, sequences, or anticipated developments, and occasionally including quantitative or evaluative dimensions",,[]
0,4297,"Specific product and service features, their technical operation, and associated strategic, financial, or management considerations",,[]
0,4297,"The successful identification, selection, and management of resources, personnel, or services, guided by strategic planning and professional standards, to achieve optimal performance, positive impact, and long-term objectives for an entity or system",,[]
0,4297,"Precise descriptions of system states, operational parameters, and technical capabilities, often in the context of troubleshooting, policy enforcement, or performance specifications, including potential future states or desired outcomes",,[]
