layer,unit,description,mean_activation,highlights
40,4965,"Expressions of actions, states, and ongoing processes, including various verb forms and auxiliaries. It further encompasses relational concepts such as location, direction, agency, and possession, indicated by prepositions and possessive markers. The pattern also consistently identifies specific named entities, their abbreviations, and explicit temporal or numerical references",,[]
40,4965,"Detailed characterizations and appraisals of products, services, and creative works, encompassing their physical and aesthetic attributes, functional benefits, market value, and user experience",,[]
40,4965,"Defining states of being, personal and impersonal actions, experiences, and perceptions, alongside their relationships, characteristics, or temporal contexts",,[]
40,4965,"Establishing properties, attributes, and relationships of a subject, including its state, composition, or actions performed",,[]
40,4965,"The offering, acquiring, or describing of products and services; their attributes, suitability, specific locations, brands, numerical values, and associated actions or states",,[]
40,4965,"Describing structured events, programs, services, and collaborations, including their logistics, participants, purpose, and calls for involvement or assistance",,[]
40,4965,"Conveying the inherent qualities, specific features, functional aspects, or defining characteristics of locations, products, services, or events, often including descriptive qualifiers or numerical details",,[]
40,4965,"Detailed information regarding systems, products, or processes, encompassing their technical specifications, functionalities, and practical instructions for configuration, operation, or maintenance",,[]
40,4965,"The fundamental state of existence or possession, expressing capabilities or ongoing actions, and indicating relationships, connections, or movement towards a specific condition",,[]
40,4965,"Specific medical conditions, procedures, devices, and healthcare services, consistently involving aspects of patient safety, risk management, treatment efficacy, professional roles, and access to care",,[]
