layer,unit,description,mean_activation,highlights
0,4679,"Describing qualities, performance, and current state of systems, materials, or products, including their novelty, efficacy, or specific technical attributes",,[]
0,4679,"Qualities, characteristics, and benefits of items or concepts, emphasizing their value, appeal, effectiveness, and suitability, often through personal perspective or specific identification",,[]
0,4679,"Specific proper nouns, numerical data, and chronological references spanning past, present, and future; personal perspectives, emotional states, and qualitative judgments; descriptions of actions and conditions; and themes of spirituality, morality, or belief",,[]
0,4679,"Identifying individuals, locations, and named entities or titles; temporal contexts including specific dates, relative time, sequence, and age; descriptive attributes such as qualities, emotional states, and conditions; and dynamic actions, processes, or quantitative references",,[]
0,4679,"The articulation of events, experiences, or entities through their temporal and spatial coordinates, personal or collective perspective, and qualitative assessment, often emphasizing newness, ongoing processes, or specific details",,[]
0,4679,"Temporal markers spanning past, present, and future, alongside stages of education and professional advancement, including new beginnings and ongoing development, with an emphasis on significance and positive evaluation, often reflecting personal or collective engagement",,[]
0,4679,"Identifying distinct entities, individuals, or occurrences, frequently highlighting their newness, ongoing status, or recent past, often accompanied by positive descriptive qualities or significant features",,[]
0,4679,"Conscious planning and structured execution of tasks, projects, or agreements, emphasizing thoroughness, quality assurance, future considerations, and adaptation to evolving requirements or conditions",,[]
0,4679,"Identification of specific entities, their qualities, status, or temporal context, and the conditions, purposes, or relationships associated with them",,[]
0,4679,"Explanation of specific concepts, methods, or conditions; emphasis on importance, quality, or correct application; temporal progression; personal insights; pursuit of beneficial outcomes or problem resolution",,[]
