layer,unit,description,mean_activation,highlights
40,4965,"Dynamic processes, their outcomes, and effects. Current states, conditions, and inherent attributes of entities. Relationships, affiliations, and instances of possession or absence. Specific temporal, spatial, and quantitative details. Expressed intentions, capabilities, perceptions, and transformations in status or role",,[]
40,4965,"Properties and characteristics of various items, offerings, and experiences, including their aesthetic appeal, functional attributes, material composition, and emotional resonance",,[]
40,4965,"An individual's internal world, personal experiences, emotional states, and their agency within self-development and interpersonal connections",,[]
40,4965,"Conveying information about the characteristics, composition, and purpose of various entities; detailing methods, steps, and recommendations for their use or creation; expressing evaluations, benefits, and personal experiences regarding them",,[]
40,4965,"Attributes, availability, and procurement of products, services, or properties, emphasizing their value and associated actions",,[]
40,4965,"The planning, hosting, and descriptive elements of structured gatherings and offerings, including institutional missions, participant roles, program features, and anticipated outcomes",,[]
40,4965,"Factual descriptions or attributed properties of various subjects including their state, location, or specific identifiers",,[]
40,4965,"Specific products, software, or systems; their defining characteristics, technical specifications, and functionalities; and processes for their operation, customization, or maintenance",,[]
40,4965,"Describing the nature, condition, capabilities, or connections of a subject or system",,[]
40,4965,"The organization, delivery, and enhancement of medical and health services, covering patient care, disease prevention, safety measures, and related technological and administrative aspects",,[]
