layer,unit,description,mean_activation,highlights
40,364,"Operational frameworks, professional standards and qualifications, numerical and statistical measurements, and structured guidance or information within a given field or system",,[]
40,364,"Precise statements regarding qualities, attributes, or states, often with comparative or superlative intensity, alongside specific quantities, enumerations, or limitations, and delineating actions, abilities, or requirements of entities, processes, or information, typically within descriptive, instructional, or interrogative contexts highlighting particular components",,[]
40,364,"Descriptions of systems, products, or specialized services, highlighting their features, operational mechanisms, technical specifications, and the benefits or solutions they provide",,[]
40,364,"Quantities and intensities, temporal and spatial settings, states of being and capabilities, actions and processes, relational links, and expressions of negation or absence",,[]
40,364,"Describing properties, capabilities, and benefits, focusing on quality and user experience",,[]
40,364,"Assertions of existence, states of being, and inherent properties; expressions of capacity, potential, and future intent; descriptions of actions, processes, and their resulting outcomes; indications of quantity, comparison, and intensity; and the establishment of context, purpose, or relationships between entities",,[]
40,364,"The means by which various offerings are made available or obtained, encompassing their governing conditions, operational procedures, available assistance, and potential benefits or challenges",,[]
40,364,"Quantifiable measurements and statistics, specific temporal markers, descriptions of existing states and conditions, identified entities and locations, actions and their immediate outcomes, and modifiers of degree and relation",,[]
40,364,"The management, delivery, and enhancement of products, services, and operations, encompassing their features, underlying systems, associated processes, customer or user interaction, market presence, and adherence to regulations",,[]
40,364,"Detailed and quantitative information regarding specific events, services, or entities, including their scale, duration, components, participant roles, and structured attributes",,[]
