layer,unit,description,mean_activation,highlights
20,2325,"Specific categories of content and information, including literary works, educational materials, various media, and games, often in terms of their forms, internal structures, or associated activities and items",,[]
20,2325,"Commercial provision and management of products, services, and property, encompassing operational processes, client and partner interactions, financial structures, and the fulfillment of specific business or personal objectives",,[]
20,2325,"Organized activities and events, including the roles of participants, services offered, provisions like food and drink, along with planning and conditions of operation",,[]
20,2325,"The design, creation, and visual attributes of physical objects, including fashion, jewelry, home furnishings, promotional items, and craft products",,[]
20,2325,"Supporting health and well-being through comprehensive care and professional interventions, driving improvement, overall well-being, and growth for individuals and communities facing challenges",,[]
20,2325,"Identifying the specific components, qualities, or location details that characterize a larger entity or situation",,[]
20,2325,"Institutional and corporate activities, leadership, and governance, including financial, political, legal, or athletic performance, and formal reporting",,[]
20,2325,"Inquiries into present or future states, exploration of options and hypothetical outcomes, assessment of individual potential and available resources, and detailing conditional relationships leading to certain results",,[]
20,2325,"The creation, preparation, and upkeep of edible items, their components and implements, alongside general domestic maintenance and pet care essentials",,[]
20,2325,"The characteristics, functions, and operational procedures of products, services, or systems, along with the conditions for their use, acquisition, or mastery, emphasizing their benefits and outcomes",,[]
