layer,unit,description,mean_activation,highlights
40,556,"Specifications of quantity, duration, type, and conditions for actions or entities",,[]
40,556,"The implementation and management of organizational processes, capabilities, and services, focusing on strategic planning, professional development, and the pursuit of efficiency and specific outcomes",,[]
40,556,"Emphasis, evaluation, and vivid description; grammatical linking, modification, and negation; alongside textual structuring and specific entity identification",,[]
40,556,"The characterization of items based on their physical and design attributes, including dimensions, materials, fit, comfort, and functionality, alongside their branding and information for purchase or customization",,[]
40,556,"Specific attributes, operational actions, and quantitative metrics for systems, products, or services",,[]
40,556,"Precise factual details identifying individuals, organizations, locations, and temporal events, along with their defining attributes, classifications, and functional roles across various professional, academic, medical, legal, and social domains",,[]
40,556,"Physical form, visual attributes, design choices, dimensions, and arrangement of tangible objects and constructed environments",,[]
40,556,"The crafting, preparing, and savoring of food and drink, encompassing personal preferences, dietary choices, daily routines for well-being, and handmade creations",,[]
40,556,"The precise nature, capabilities, connections, actions, or specific contextual information regarding objects and events",,[]
40,556,"Specification of prevailing conditions, initiation or continuation of processes, potential or realized transformations, and articulated goals or identities",,[]
