layer,unit,description,mean_activation,highlights
20,5662,"Physical substances, their constituent parts and properties, specific products, and the processes, methods, or equipment involved in their handling or transformation",,[]
20,5662,"The identification, description, and systematic handling of specific entities or elements, including the procedures, instructions, and tools required for their construction, interaction, or analysis",,[]
20,5662,"Formal and structured systems and processes within legal, business, or financial contexts, including their management, the handling of information and transactions, and the need for clarity, comparison, or adherence",,[]
20,5662,"The practical engagement with and procurement of various products, services, or property, including their discovery, features, and upkeep processes, often involving professional assistance",,[]
20,5662,"Planned activities, systematic processes, and formal communications within specific environments, related to instruction, care, or information dissemination",,[]
20,5662,"Designed artifacts and their characteristics, encompassing decorative features, functional components, personal adornments, and stylistic elements",,[]
20,5662,"Enabling the acquisition of skills, knowledge, or desired outcomes through structured processes, specialized resources, and professional guidance",,[]
20,5662,"The identification and detailing of distinct components, sequential steps, or specific attributes within a broader context or structured activity",,[]
20,5662,"Specific entities, their descriptive attributes, and actions within professional, artistic, or media contexts; including direct communication and personal reflections",,[]
20,5662,"Recognizing specific named entities, precise quantities and temporal data, various forms of communication and instruction, and key functional words indicating states or actions within factual narratives and reports",,[]
