layer,unit,description,mean_activation,highlights
40,3515,"Active management, support, and protection of health and safety through specialized systems, official regulations, and critical services, including the transparent communication of related information and professional roles",,[]
40,3515,"Specific references to people, groups, and concepts, descriptions of actions, states, and occurrences, and the logical or contextual connections between them",,[]
40,3515,"Details of physical properties, encompassing residential, commercial, and industrial spaces, their architectural features, amenities, and dimensions, alongside services, construction, and operational activities related to these environments",,[]
40,3515,"The precise naming of organizations, individuals, and events, alongside specific temporal markers, geographical locations, and detailed descriptions of roles, activities, or services",,[]
40,3515,"Specification of system components, configuration parameters, and operational actions, including the description of attributes, requirements, and practical application or results",,[]
40,3515,"Detailed attributes of manufactured or natural objects, including their material, form, dimensions, aesthetic design, and condition, as well as their creation, use, decoration, and specific identification",,[]
40,3515,"Particular elements that define, characterize, or specify an item, action, or context",,[]
40,3515,"Individual and collective human identities, their emotional states, actions, and social connections",,[]
40,3515,"Naming, development, and attributes of commercial offerings, digital assets, and services, encompassing their features, terms, and user experience",,[]
40,3515,"Expressions indicating an entity's function, provisions, or current state, descriptions of qualifications, attributes, or specific classifications, and terms that establish relationships between elements, denote locations or time, or serve as specific identifiers for programs, organizations, and numerical data",,[]
