layer,unit,description,mean_activation,highlights
20,328,"The distinct characteristics, activities, or logistical information associated with specific named locations, events, or services",,[]
20,328,"Establishing the relationships, contexts, purposes, and scope of actions, entities, or concepts within various systems and processes",,[]
20,328,"Professional and commercial dealings related to specific services, products, or property, including their acquisition, provision, and management",,[]
20,328,"Specific product characteristics, materials, and technical specifications, detailing operational processes, methods, and practical applications for efficiency, performance, or safety. Also, instructions for installation, configuration, or usage, and discussions on distinctions, competitive advantages, or overall improvement strategies",,[]
20,328,"Institutional and societal influences affecting individual and community rights, access, well-being, and opportunities, often involving issues of justice, accountability, and social change",,[]
20,328,"Personal engagement with tasks and challenges, reflecting on experiences, seeking knowledge and understanding, and purposeful actions for self-improvement or achieving desired outcomes",,[]
20,328,"Specific named entities, various relational markers (temporal, spatial, conditional, comparative, causal, negative), and descriptive attributes or categories",,[]
20,328,"Describing various physical objects and consumable items, emphasizing their design, aesthetic attributes, material composition, and their intended function or associated experience",,[]
20,328,"The infrastructure, services, and regulatory aspects within healthcare and social welfare systems, concerning medical conditions, injuries, and support for vulnerable groups",,[]
20,328,"Digital platforms, online services, and the various forms of content or data exchanged, managed, and interacted with in these virtual spaces",,[]
