layer,unit,description,mean_activation,highlights
0,4297,"Specific identification of entities, their defining attributes, functions, or associated actions, and precise contextual or procedural information",,[]
0,4297,"Defining requirements, qualifications, or capacities for a particular status, activity, or program, outlining associated processes and conditions, and anticipating potential outcomes or future states within diverse structured environments",,[]
0,4297,"Aspects of the human experience, focusing on individual and collective identity, emotional states, social interactions, and the unfolding of life's events, including possibilities, changes, and consequences",,[]
0,4297,"Identifying specific people, places, organizations, objects, and events, along with their descriptive attributes, relationships, roles, actions, and their positioning within particular temporal and spatial contexts, often concerning planning, acquisition, performance, or evaluation",,[]
0,4297,"Specificity in naming entities, qualifying attributes, or detailing actions, often related to legal, health, or technical contexts, including expressions of possibility, condition, and the involvement of human actors",,[]
0,4297,"Assessing and influencing the state or condition of individuals and entities, encompassing personal development, social and emotional well-being, the navigation of challenges, and the description or transformation of physical attributes and capabilities",,[]
0,4297,"Periods of time and their durations, the engagement of specific individuals, groups, or entities, their active roles, decisions, and unfolding processes, alongside the resulting conditions, measurements, or consequences",,[]
0,4297,"Operational capabilities, functional attributes, and management of systems, products, and services, including performance, efficiency, and economic or strategic impact",,[]
0,4297,"Identifying and selecting suitable options, managing resources and processes efficiently, upholding professional standards, and evaluating performance for organizational growth and long-term success",,[]
0,4297,"Specific elements, actions, states, or contexts that provide detail or define operational aspects within structured systems or processes",,[]
