layer,unit,description,mean_activation,highlights
40,1516,"Formal and informal information display, including news, reports, and official documents, detailing financial, administrative, or legal activities; temporal sequencing and duration of events or states; the specification of entities, groups, or locations; and evaluative assessments of importance, problems, or resolutions",,[]
40,1516,"Signaling specific events, periods, and locations, alongside references to media content, fantastical elements, and directives for user engagement",,[]
40,1516,"Precise identification and categorization of specific entities, attributes, and events, particularly within competitive activities, structured records, or defined series",,[]
40,1516,"Identifying or specifying an item, person, or concept, indicating its location, time, or context, or describing an action, relationship, or quality associated with it",,[]
40,1516,"Visual characteristics, aesthetic qualities, and design elements of objects, art, and environments, encompassing their forms, materials, colors, and decorative features",,[]
40,1516,"Specific entities and their identifiers, including names, places, and codes; precise quantitative data, such as numbers, percentages, and time markers; descriptive characteristics, states, or operational scopes; and indications of summarized content or information sources",,[]
40,1516,"Specific properties, operational capabilities, or prevailing conditions of entities, encompassing their material, functionality, impact, or the direct engagement and experience of users",,[]
40,1516,"The composition, creation, and sensory attributes of food and beverages, encompassing their quality, health implications, and culinary or consumption experiences",,[]
40,1516,"The organization of gatherings, activities, and services, encompassing planning, scheduling, and logistical arrangements, as well as opportunities for participation, support, and information exchange",,[]
40,1516,"Specific types of vehicles, their constituent parts, manufacturers, operational activities like driving or maintenance, along with related commercial, financial, and regulatory matters",,[]
